Periodo;Tipo;Soporte;Programa;Importe;Origen
2021;Exterior;14;Madrid;37122;LOTE 1 Reconoc. y Acredit. de Competencias 1º Ola.xlsx
2021;Exterior;14;Madrid;37122;LOTE 1 Reconoc. y Acredit. de Competencias 2º Ola.xlsx
2021;Exterior;14;Madrid;34165;LOTE 1 COVID Otoño invierno.xlsx
2021;Exterior;14;Madrid;18981;LOTE 1 COVID Otoño invierno.xlsx
2021;Exterior;14;Madrid;31951;LOTE 1 COVID Otoño invierno.xlsx
2021;Internet;14;;146070;LOTE 2 Turismo Cultural.xlsx
2023;Exterior;14;Madrid;23745;LOTE 1 Arco Verde.xlsx
2021;Prensa;20 Minutos;Madrid;9151;LOTE 1 Reconoc. y Acredit. de Competencias 1º Ola.xlsx
2021;Prensa;20 Minutos;Madrid;9151;LOTE 1 Reconoc. y Acredit. de Competencias 2º Ola.xlsx
2021;Prensa;20 Minutos;Madrid;5983;LOTE 1 Nuevoscursosdeformacionprofe.xlsx
2021;Prensa;20 Minutos;Madrid;7062;LOTE 1 Economía Circular.xlsx
2021;Internet;20 Minutos;;2028;LOTE 2_Surge y Dia de la animación.xlsx
2021;Prensa;20 Minutos;Madrid;3531;LOTE 1 Festival Teatralia 2021.xlsx
2021;Internet;20 Minutos;;1240;LOTE 2 Fiesta 2 de Mayo.xlsx
2021;Prensa;20 Minutos;Madrid;1994;LOTE 1 DG IGUALDAD Mujer.xlsx
2021;Prensa;20 Minutos;Madrid;36605;LOTE 1 COVID Otoño invierno.xlsx
2021;Prensa;20 Minutos;Madrid;6101;LOTE 1 Día de Seg. y Salud en Trabajo.xlsx
2021;Prensa;20 Minutos;Madrid;6101;LOTE 1 Prevención Violencia.xlsx
2021;Prensa;20 Minutos;Madrid;1765;LOTE 1 Teatrosdecanal 1 TRI.xlsx
2021;Prensa;20 Minutos;Madrid;5296;LOTE 1 Teatros del Canal.xlsx
2021;Prensa;20 Minutos;Nacional;13586;LOTE 1 Turismo Otoño.xlsx
2021;Prensa;20 Minutos;Barcelona;4558;LOTE 1 Turismo Otoño.xlsx
2021;Prensa;20 Minutos;C. Valenciana;1426;LOTE 1 Turismo Otoño.xlsx
2021;Prensa;20 Minutos;Sevilla;1512;LOTE 1 Turismo Otoño.xlsx
2021;Prensa;20 Minutos;Nacional;4529;LOTE 1 Turismo Prim Verano.xlsx
2021;Prensa;20 Minutos;Nacional;6101;LOTE 1 Turismo Prim Verano.xlsx
2022;Prensa;20 Minutos;Madrid;8371;LOTE 1_Adoptaunpueblo.xlsx
2022;Prensa;20 Minutos;Nacional;9504;LOTE 1_Bonos Turisticos .xlsx
2022;Prensa;20 Minutos;Barcelona;1594;LOTE 1_Bonos Turisticos .xlsx
2022;Prensa;20 Minutos;C. Valenciana;490;LOTE 1_Bonos Turisticos .xlsx
2022;Prensa;20 Minutos;Sevilla;528;LOTE 1_Bonos Turisticos .xlsx
2022;Prensa;20 Minutos;Madrid;8371;LOTE 1_Competencias Profesionales.xlsx
2022;Prensa;20 Minutos;Madrid;6566;LOTE 1_Contra la Trata.xlsx
2022;Prensa;20 Minutos;Madrid;13133;LOTE 1- Contra la Violencia.xlsx
2022;Prensa;20 Minutos;Madrid;12806;LOTE 1 Contra Consumo Drogas.xlsx
2022;Prensa;20 Minutos;Madrid;6278;LOTE 1_Cursos Formación Profesional.xlsx
2022;Prensa;20 Minutos;Madrid;8371;LOTE 1 Cursos formacion propios .xlsx
2022;Prensa;20 Minutos;Madrid;16008;LOTE 1 Economia Circular.xlsx
2022;Prensa;20 Minutos;Madrid;1853;LOTE 1 Surge.xlsx
2022;Prensa;20 Minutos;Madrid;1853;LOTE 1_ FIVE 2022.xlsx
2022;Prensa;20 Minutos;Madrid;6403;LOTE 1_Mueveteentransporte.xlsx
2022;Prensa;20 Minutos;Madrid;6403;LOTE 1 Ganadería.xlsx
2022;Prensa;20 Minutos;Madrid;3202;LOTE 1 Emprendimiento de la Mujer.xlsx
2022;Prensa;20 Minutos;Madrid;1853;LOTE 1 La Noche de los Libros.xlsx
2022;Internet;20 Minutos;;5000;LOTE 2_Campaña Navidad.xlsx
2022;Prensa;20 Minutos;Madrid;19210;LOTE 1 Campaña Prevención ITS.xlsx
2022;Prensa;20 Minutos;Madrid;5296;LOTE 1 Prog Teatro Canal 2022.xlsx
2022;Prensa;20 Minutos;Madrid;12806;LOTE 1_Seguridad en el Trabajo.xlsx
2022;Prensa;20 Minutos;Madrid;16008;LOTE 1 Salud Socioemocional.xlsx
2022;Prensa;20 Minutos;Madrid;6403;LOTE 1 Teatralia.xlsx
2022;Prensa;20 Minutos;Nacional;19008;LOTE 1 Turismo Otoño.xlsx
2022;Prensa;20 Minutos;Barcelona;3187;LOTE 1 Turismo Otoño.xlsx
2022;Prensa;20 Minutos;C. Valenciana;979;LOTE 1 Turismo Otoño.xlsx
2022;Prensa;20 Minutos;Sevilla;1056;LOTE 1 Turismo Otoño.xlsx
2022;Prensa;20 Minutos;Madrid;22411;LOTE 1_Vacunación Covid 19 + Gripe.xlsx
2023;Prensa;20 Minutos;Madrid;2624;LOTE1 AO IP Exprop M-123 Algete.xlsx
2023;Prensa;20 Minutos;Madrid;12595;LOTE 1  Abono 65 años.xlsx
2023;Prensa;20 Minutos;Madrid;14414;LOTE 1_Acreditación Competencias.xlsx
2023;Prensa;20 Minutos;Madrid;15744;LOTE 1 Campaña Adopta un pueblo.xlsx
2023;Prensa;20 Minutos;Madrid;15744;LOTE 1 Arco Verde.xlsx
2023;Prensa;20 Minutos;Madrid;12595;LOTE 1 Campaña Contra la Trata.xlsx
2023;Prensa;20 Minutos;Madrid;7276;LOTE 1 Economia Circular.xlsx
